Title,Singer,Year
"陪著你走","譚嘉儀",2017
"說再見了吧","Supper Moment",2017
"突然一生人","王菀之",2017
"兄兄我我","C AllStar",2017
"脫胎換骨","容祖兒",2017
"空姐","李幸倪",2017
"死亡之吻","關楚耀",2017
"孝順","吳業坤",2017
"安全感","JW王灝兒",2017
"萬中無一","閻奕格",2017
"帶著骨灰去旅行","洪卓立",2017
"百年樹木","張敬軒",2018
"老少平安","周柏豪",2018
"心之科學","容祖兒",2018
"漸漸","陳奕迅",2018
"認真如初","陳柏宇",2018
"寧願當初不相見","Dear Jane",2018
"錢七","麥浚龍",2018
"無期","AGA",2018
"小問題","AGA",2018
"凱旋門","吳業坤",2018
"停半分鐘聽一闋歌","許廷鏗",2018
"頌讚詩","林奕匡",2018
"橙海","Supper Moment",2018
"和好","鄧小巧",2018
"盡力呼吸","岑寧兒",2018
"其實寂寞","謝安琪",2018
"那怕最終只有我","吳浩康",2018
"但願人長久","菊梓喬",2018
"飛蛾撲火","菊梓喬",2018
"揮揮手","JW王灝兒",2018
"只有愛不足夠","鄧小巧",2018
"缺","張敬軒",2018
"未來見","RubberBand",2018
"我們都是這樣長大的","鄭秀文",2019
"忘記和記","麥浚龍、黎明",2019
"我們很好","林峯",2019
"人話","方皓玟",2019
"最後的信仰","林二汶",2019
"雲知道","梁詠琪",2019
"我們與愛的距離","許廷鏗",2019
"2084","Dear Jane",2019
"13樓的大笨象","鄭融",2019
"失戀的人站起來","吳業坤",2019
"讓愛高飛","周柏豪",2019
"船頭尺","吳浩康",2019
"一種永遠","容祖兒",2019
"Tonight","AGA",2019
"偷情的禮儀","謝安琪",2019
"情感的廢墟","麥浚龍",2019
"努力奮鬥加油","林海峰",2019
"逃生門","JW王灝兒",2019
"雲吞","鄧小巧",2019
"5:59pm","恭碩良、林憶蓮",2019
"初老","吳浩康",2019
"願","方皓玟",2019
"所以我愛","衛蘭",2019
"呼吸有害","莫文蔚",2020
"銀河修理員","Dear Jane",2020
"蒙著嘴說愛你","姜濤",2020
"一人之境","林家謙",2020
"是但求其愛","陳奕迅",2020
"隔離","JACE陳凱詠",2020
"水刑物語","柳應廷",2020
"無力感","許廷鏗",2020
"溝渠暢泳","泳兒",2020
